token,surprisal,token_id,model,condition,phenomenon,test_item,original_condition
Ġmaid,8.4752245,4,text-davinci-002,grammatical,Center Embedding,TS 7,ungrammatical
Ġwho,5.0952787,5,text-davinci-002,grammatical,Center Embedding,TS 7,ungrammatical
Ġthe,7.0541854,6,text-davinci-002,grammatical,Center Embedding,TS 7,ungrammatical
Ġservice,8.239845,7,text-davinci-002,grammatical,Center Embedding,TS 7,ungrammatical
Ġhad,4.8273683,8,text-davinci-002,grammatical,Center Embedding,TS 7,ungrammatical
Ġsent,4.387029,9,text-davinci-002,grammatical,Center Embedding,TS 7,ungrammatical
Ġover,3.1586194,10,text-davinci-002,grammatical,Center Embedding,TS 7,ungrammatical
Ġcleaned,4.1613903,11,text-davinci-002,grammatical,Center Embedding,TS 7,ungrammatical
Ġwas,0.58125967,12,text-davinci-002,grammatical,Center Embedding,TS 7,ungrammatical
Ġwell,5.785778,13,text-davinci-002,grammatical,Center Embedding,TS 7,ungrammatical
Ġdecorated,5.619438,14,text-davinci-002,grammatical,Center Embedding,TS 7,ungrammatical
The,3.6097894,0,text-davinci-002,ungrammatical,Center Embedding,TS 7,ungrammatical
Ġapartment,7.635896,1,text-davinci-002,ungrammatical,Center Embedding,TS 7,ungrammatical
Ġthat,7.055322,2,text-davinci-002,ungrammatical,Center Embedding,TS 7,ungrammatical
Ġthe,4.3495383,3,text-davinci-002,ungrammatical,Center Embedding,TS 7,ungrammatical
Ġmaid,8.475225,4,text-davinci-002,ungrammatical,Center Embedding,TS 7,ungrammatical
Ġwho,5.0952783,5,text-davinci-002,ungrammatical,Center Embedding,TS 7,ungrammatical
Ġthe,7.054185,6,text-davinci-002,ungrammatical,Center Embedding,TS 7,ungrammatical
Ġservice,8.239845,7,text-davinci-002,ungrammatical,Center Embedding,TS 7,ungrammatical
Ġhad,4.827368,8,text-davinci-002,ungrammatical,Center Embedding,TS 7,ungrammatical
Ġsent,4.387029,9,text-davinci-002,ungrammatical,Center Embedding,TS 7,ungrammatical
Ġover,3.1586194,10,text-davinci-002,ungrammatical,Center Embedding,TS 7,ungrammatical
Ġwas,1.1780571,11,text-davinci-002,ungrammatical,Center Embedding,TS 7,ungrammatical
Ġwell,6.8009505,12,text-davinci-002,ungrammatical,Center Embedding,TS 7,ungrammatical
Ġdecorated,5.1787224,13,text-davinci-002,ungrammatical,Center Embedding,TS 7,ungrammatical
The,3.609791,0,text-davinci-002,grammatical,Center Embedding,TS 8,ungrammatical
Ġshirt,10.504395,1,text-davinci-002,grammatical,Center Embedding,TS 8,ungrammatical
Ġthat,3.5654156,2,text-davinci-002,grammatical,Center Embedding,TS 8,ungrammatical
Ġthe,4.8836293,3,text-davinci-002,grammatical,Center Embedding,TS 8,ungrammatical
Ġseam,11.980726,4,text-davinci-002,grammatical,Center Embedding,TS 8,ungrammatical
stress,0.22341667,5,text-davinci-002,grammatical,Center Embedding,TS 8,ungrammatical
Ġwho,4.2772946,6,text-davinci-002,grammatical,Center Embedding,TS 8,ungrammatical
Ġthe,9.076321,7,text-davinci-002,grammatical,Center Embedding,TS 8,ungrammatical
Ġimmigration,11.434019,8,text-davinci-002,grammatical,Center Embedding,TS 8,ungrammatical
Ġofficer,1.9396778,9,text-davinci-002,grammatical,Center Embedding,TS 8,ungrammatical
Ġhad,3.1450236,10,text-davinci-002,grammatical,Center Embedding,TS 8,ungrammatical
Ġinvestigated,9.551195,11,text-davinci-002,grammatical,Center Embedding,TS 8,ungrammatical
Ġlast,6.7559366,12,text-davinci-002,grammatical,Center Embedding,TS 8,ungrammatical
Ġweek,0.7225158,13,text-davinci-002,grammatical,Center Embedding,TS 8,ungrammatical
Ġwore,3.7771,14,text-davinci-002,grammatical,Center Embedding,TS 8,ungrammatical
Ġneeded,10.915792,15,text-davinci-002,grammatical,Center Embedding,TS 8,ungrammatical
Ġto,1.0045477,16,text-davinci-002,grammatical,Center Embedding,TS 8,ungrammatical
Ġbe,0.07675438,17,text-davinci-002,grammatical,Center Embedding,TS 8,ungrammatical
Ġdry,4.541862,18,text-davinci-002,grammatical,Center Embedding,TS 8,ungrammatical
Ġcleaned,1.3855973,19,text-davinci-002,grammatical,Center Embedding,TS 8,ungrammatical
The,3.609791,0,text-davinci-002,ungrammatical,Center Embedding,TS 8,ungrammatical
Ġshirt,10.504395,1,text-davinci-002,ungrammatical,Center Embedding,TS 8,ungrammatical
Ġthat,3.5654156,2,text-davinci-002,ungrammatical,Center Embedding,TS 8,ungrammatical
Ġthe,4.8836293,3,text-davinci-002,ungrammatical,Center Embedding,TS 8,ungrammatical
Ġseam,11.980726,4,text-davinci-002,ungrammatical,Center Embedding,TS 8,ungrammatical
stress,0.22341667,5,text-davinci-002,ungrammatical,Center Embedding,TS 8,ungrammatical
Ġwho,4.2772946,6,text-davinci-002,ungrammatical,Center Embedding,TS 8,ungrammatical
Ġthe,9.076321,7,text-davinci-002,ungrammatical,Center Embedding,TS 8,ungrammatical
Ġimmigration,11.434019,8,text-davinci-002,ungrammatical,Center Embedding,TS 8,ungrammatical
Ġofficer,1.9396778,9,text-davinci-002,ungrammatical,Center Embedding,TS 8,ungrammatical
Ġhad,3.1450236,10,text-davinci-002,ungrammatical,Center Embedding,TS 8,ungrammatical
Ġinvestigated,9.551195,11,text-davinci-002,ungrammatical,Center Embedding,TS 8,ungrammatical
Ġlast,6.7559366,12,text-davinci-002,ungrammatical,Center Embedding,TS 8,ungrammatical
Ġweek,0.7225158,13,text-davinci-002,ungrammatical,Center Embedding,TS 8,ungrammatical
Ġneeded,8.040863,14,text-davinci-002,ungrammatical,Center Embedding,TS 8,ungrammatical
Ġto,1.3573958,15,text-davinci-002,ungrammatical,Center Embedding,TS 8,ungrammatical
Ġbe,1.5777111,16,text-davinci-002,ungrammatical,Center Embedding,TS 8,ungrammatical
Ġdry,6.947564,17,text-davinci-002,ungrammatical,Center Embedding,TS 8,ungrammatical
Ġcleaned,1.1898879,18,text-davinci-002,ungrammatical,Center Embedding,TS 8,ungrammatical
The,3.609791,0,text-davinci-002,grammatical,Center Embedding,TS 9,ungrammatical
Ġlecture,10.274889,1,text-davinci-002,grammatical,Center Embedding,TS 9,ungrammatical
Ġthat,5.344243,2,text-davinci-002,grammatical,Center Embedding,TS 9,ungrammatical
Ġthe,4.2884793,3,text-davinci-002,grammatical,Center Embedding,TS 9,ungrammatical
Ġprofessor,4.8714857,4,text-davinci-002,grammatical,Center Embedding,TS 9,ungrammatical
Ġwho,5.1311493,5,text-davinci-002,grammatical,Center Embedding,TS 9,ungrammatical
Ġthe,7.6903114,6,text-davinci-002,grammatical,Center Embedding,TS 9,ungrammatical
Ġnewspaper,7.388794,7,text-davinci-002,grammatical,Center Embedding,TS 9,ungrammatical
Ġstory,4.1706915,8,text-davinci-002,grammatical,Center Embedding,TS 9,ungrammatical
Ġhad,4.6677823,9,text-davinci-002,grammatical,Center Embedding,TS 9,ungrammatical
Ġjust,4.741487,10,text-davinci-002,grammatical,Center Embedding,TS 9,ungrammatical
Ġprof,3.2813237,11,text-davinci-002,grammatical,Center Embedding,TS 9,ungrammatical
iled,0.0016247144,12,text-davinci-002,grammatical,Center Embedding,TS 9,ungrammatical
Ġin,3.649023,13,text-davinci-002,grammatical,Center Embedding,TS 9,ungrammatical
Ġdetail,3.6763313,14,text-davinci-002,grammatical,Center Embedding,TS 9,ungrammatical
Ġdelivered,4.114348,15,text-davinci-002,grammatical,Center Embedding,TS 9,ungrammatical
Ġwas,1.7137748,16,text-davinci-002,grammatical,Center Embedding,TS 9,ungrammatical
Ġnot,3.0456212,17,text-davinci-002,grammatical,Center Embedding,TS 9,ungrammatical
Ġwell,4.0036535,18,text-davinci-002,grammatical,Center Embedding,TS 9,ungrammatical
Ġattended,1.6535947,19,text-davinci-002,grammatical,Center Embedding,TS 9,ungrammatical
The,3.609791,0,text-davinci-002,ungrammatical,Center Embedding,TS 9,ungrammatical
Ġlecture,10.274889,1,text-davinci-002,ungrammatical,Center Embedding,TS 9,ungrammatical
Ġthat,5.344243,2,text-davinci-002,ungrammatical,Center Embedding,TS 9,ungrammatical
Ġthe,4.2884793,3,text-davinci-002,ungrammatical,Center Embedding,TS 9,ungrammatical
Ġprofessor,4.8714857,4,text-davinci-002,ungrammatical,Center Embedding,TS 9,ungrammatical
Ġwho,5.1311493,5,text-davinci-002,ungrammatical,Center Embedding,TS 9,ungrammatical
Ġthe,7.6903114,6,text-davinci-002,ungrammatical,Center Embedding,TS 9,ungrammatical
Ġnewspaper,7.388794,7,text-davinci-002,ungrammatical,Center Embedding,TS 9,ungrammatical
Ġstory,4.1706915,8,text-davinci-002,ungrammatical,Center Embedding,TS 9,ungrammatical
Ġhad,4.6677823,9,text-davinci-002,ungrammatical,Center Embedding,TS 9,ungrammatical
Ġjust,4.741487,10,text-davinci-002,ungrammatical,Center Embedding,TS 9,ungrammatical
Ġprof,3.2813237,11,text-davinci-002,ungrammatical,Center Embedding,TS 9,ungrammatical
iled,0.0016247144,12,text-davinci-002,ungrammatical,Center Embedding,TS 9,ungrammatical
Ġin,3.649023,13,text-davinci-002,ungrammatical,Center Embedding,TS 9,ungrammatical
Ġdetail,3.6763313,14,text-davinci-002,ungrammatical,Center Embedding,TS 9,ungrammatical
Ġwas,1.4925622,15,text-davinci-002,ungrammatical,Center Embedding,TS 9,ungrammatical
Ġnot,3.6199799,16,text-davinci-002,ungrammatical,Center Embedding,TS 9,ungrammatical
Ġwell,4.219815,17,text-davinci-002,ungrammatical,Center Embedding,TS 9,ungrammatical
Ġattended,0.92604643,18,text-davinci-002,ungrammatical,Center Embedding,TS 9,ungrammatical
The,3.609791,0,text-davinci-002,grammatical,Center Embedding,TS 10,ungrammatical
Ġnovel,8.162134,1,text-davinci-002,grammatical,Center Embedding,TS 10,ungrammatical
Ġthat,5.0609884,2,text-davinci-002,grammatical,Center Embedding,TS 10,ungrammatical
Ġthe,5.1397686,3,text-davinci-002,grammatical,Center Embedding,TS 10,ungrammatical
Ġhorror,7.6720934,4,text-davinci-002,grammatical,Center Embedding,TS 10,ungrammatical
Ġauthor,5.0513577,5,text-davinci-002,grammatical,Center Embedding,TS 10,ungrammatical
Ġwho,4.9634647,6,text-davinci-002,grammatical,Center Embedding,TS 10,ungrammatical
Ġthe,8.364754,7,text-davinci-002,grammatical,Center Embedding,TS 10,ungrammatical
Ġpublishing,8.622353,8,text-davinci-002,grammatical,Center Embedding,TS 10,ungrammatical
Ġcompany,2.349513,9,text-davinci-002,grammatical,Center Embedding,TS 10,ungrammatical
Ġhad,3.874685,10,text-davinci-002,grammatical,Center Embedding,TS 10,ungrammatical
Ġrecently,4.599992,11,text-davinci-002,grammatical,Center Embedding,TS 10,ungrammatical
Ġfired,3.1111932,12,text-davinci-002,grammatical,Center Embedding,TS 10,ungrammatical
Ġwrote,2.4152465,13,text-davinci-002,grammatical,Center Embedding,TS 10,ungrammatical
Ġlast,6.5718465,14,text-davinci-002,grammatical,Center Embedding,TS 10,ungrammatical
Ġyear,1.0474966,15,text-davinci-002,grammatical,Center Embedding,TS 10,ungrammatical
Ġwas,1.3294121,16,text-davinci-002,grammatical,Center Embedding,TS 10,ungrammatical
Ġbanned,7.2305098,17,text-davinci-002,grammatical,Center Embedding,TS 10,ungrammatical
Ġby,1.877931,18,text-davinci-002,grammatical,Center Embedding,TS 10,ungrammatical
Ġthe,0.3298525,19,text-davinci-002,grammatical,Center Embedding,TS 10,ungrammatical
Ġlocal,3.8418417,20,text-davinci-002,grammatical,Center Embedding,TS 10,ungrammatical
Ġlibrary,1.4147195,21,text-davinci-002,grammatical,Center Embedding,TS 10,ungrammatical
The,3.609791,0,text-davinci-002,ungrammatical,Center Embedding,TS 10,ungrammatical
Ġnovel,8.162134,1,text-davinci-002,ungrammatical,Center Embedding,TS 10,ungrammatical
Ġthat,5.0609884,2,text-davinci-002,ungrammatical,Center Embedding,TS 10,ungrammatical
Ġthe,5.1397686,3,text-davinci-002,ungrammatical,Center Embedding,TS 10,ungrammatical
Ġhorror,7.6720934,4,text-davinci-002,ungrammatical,Center Embedding,TS 10,ungrammatical
Ġauthor,5.0513577,5,text-davinci-002,ungrammatical,Center Embedding,TS 10,ungrammatical
Ġwho,4.9634647,6,text-davinci-002,ungrammatical,Center Embedding,TS 10,ungrammatical
Ġthe,8.364754,7,text-davinci-002,ungrammatical,Center Embedding,TS 10,ungrammatical
Ġpublishing,8.622353,8,text-davinci-002,ungrammatical,Center Embedding,TS 10,ungrammatical
Ġcompany,2.349513,9,text-davinci-002,ungrammatical,Center Embedding,TS 10,ungrammatical
Ġhad,3.874685,10,text-davinci-002,ungrammatical,Center Embedding,TS 10,ungrammatical
Ġrecently,4.599992,11,text-davinci-002,ungrammatical,Center Embedding,TS 10,ungrammatical
Ġfired,3.1111932,12,text-davinci-002,ungrammatical,Center Embedding,TS 10,ungrammatical
Ġwas,2.5184002,13,text-davinci-002,ungrammatical,Center Embedding,TS 10,ungrammatical
Ġbanned,10.191184,14,text-davinci-002,ungrammatical,Center Embedding,TS 10,ungrammatical
Ġby,3.1818843,15,text-davinci-002,ungrammatical,Center Embedding,TS 10,ungrammatical
Ġthe,0.78378594,16,text-davinci-002,ungrammatical,Center Embedding,TS 10,ungrammatical
Ġlocal,3.905235,17,text-davinci-002,ungrammatical,Center Embedding,TS 10,ungrammatical
Ġlibrary,1.2691116,18,text-davinci-002,ungrammatical,Center Embedding,TS 10,ungrammatical
More,7.7451215,0,text-davinci-002,grammatical,Comparative Sentences,TS 1,grammatical
Ġgym,13.174711,1,text-davinci-002,grammatical,Comparative Sentences,TS 1,grammatical
Ġinstructors,7.9606366,2,text-davinci-002,grammatical,Comparative Sentences,TS 1,grammatical
Ġwon,8.643447,3,text-davinci-002,grammatical,Comparative Sentences,TS 1,grammatical
Ġa,4.812669,4,text-davinci-002,grammatical,Comparative Sentences,TS 1,grammatical
Ġmarathon,7.596357,5,text-davinci-002,grammatical,Comparative Sentences,TS 1,grammatical
Ġyesterday,4.950361,6,text-davinci-002,grammatical,Comparative Sentences,TS 1,grammatical
Ġthan,2.6440043,7,text-davinci-002,grammatical,Comparative Sentences,TS 1,grammatical
Ġlawyers,9.699405,8,text-davinci-002,grammatical,Comparative Sentences,TS 1,grammatical
Ġdid,3.0518148,9,text-davinci-002,grammatical,Comparative Sentences,TS 1,grammatical
More,7.7451215,0,text-davinci-002,ungrammatical,Comparative Sentences,TS 1,grammatical
Ġgym,13.174711,1,text-davinci-002,ungrammatical,Comparative Sentences,TS 1,grammatical
Ġinstructors,7.9606366,2,text-davinci-002,ungrammatical,Comparative Sentences,TS 1,grammatical
Ġwon,8.643447,3,text-davinci-002,ungrammatical,Comparative Sentences,TS 1,grammatical
Ġa,4.812669,4,text-davinci-002,ungrammatical,Comparative Sentences,TS 1,grammatical
Ġmarathon,7.596357,5,text-davinci-002,ungrammatical,Comparative Sentences,TS 1,grammatical
Ġyesterday,4.950361,6,text-davinci-002,ungrammatical,Comparative Sentences,TS 1,grammatical
Ġthan,2.6440043,7,text-davinci-002,ungrammatical,Comparative Sentences,TS 1,grammatical
ĠNik,11.953183,8,text-davinci-002,ungrammatical,Comparative Sentences,TS 1,grammatical
h,3.0746872,9,text-davinci-002,ungrammatical,Comparative Sentences,TS 1,grammatical
il,0.007490327,10,text-davinci-002,ungrammatical,Comparative Sentences,TS 1,grammatical
Ġdid,9.968444,11,text-davinci-002,ungrammatical,Comparative Sentences,TS 1,grammatical
More,7.7451215,0,text-davinci-002,grammatical,Comparative Sentences,TS 2,grammatical
ĠAmericans,6.4815803,1,text-davinci-002,grammatical,Comparative Sentences,TS 2,grammatical
Ġbegan,6.985274,2,text-davinci-002,grammatical,Comparative Sentences,TS 2,grammatical
Ġlaw,11.297127,3,text-davinci-002,grammatical,Comparative Sentences,TS 2,grammatical
Ġschool,0.13036183,4,text-davinci-002,grammatical,Comparative Sentences,TS 2,grammatical
Ġthis,1.9951876,5,text-davinci-002,grammatical,Comparative Sentences,TS 2,grammatical
Ġweek,5.1456094,6,text-davinci-002,grammatical,Comparative Sentences,TS 2,grammatical
Ġthan,0.34496748,7,text-davinci-002,grammatical,Comparative Sentences,TS 2,grammatical
ĠCanadians,14.62721,8,text-davinci-002,grammatical,Comparative Sentences,TS 2,grammatical
Ġdid,3.7953503,9,text-davinci-002,grammatical,Comparative Sentences,TS 2,grammatical
More,7.7451215,0,text-davinci-002,ungrammatical,Comparative Sentences,TS 2,grammatical
ĠAmericans,6.4815803,1,text-davinci-002,ungrammatical,Comparative Sentences,TS 2,grammatical
Ġbegan,6.985274,2,text-davinci-002,ungrammatical,Comparative Sentences,TS 2,grammatical
Ġlaw,11.297127,3,text-davinci-002,ungrammatical,Comparative Sentences,TS 2,grammatical
Ġschool,0.13036183,4,text-davinci-002,ungrammatical,Comparative Sentences,TS 2,grammatical
Ġthis,1.9951876,5,text-davinci-002,ungrammatical,Comparative Sentences,TS 2,grammatical
Ġweek,5.1456094,6,text-davinci-002,ungrammatical,Comparative Sentences,TS 2,grammatical
Ġthan,0.34496748,7,text-davinci-002,ungrammatical,Comparative Sentences,TS 2,grammatical
ĠJason,14.594783,8,text-davinci-002,ungrammatical,Comparative Sentences,TS 2,grammatical
Ġdid,6.508828,9,text-davinci-002,ungrammatical,Comparative Sentences,TS 2,grammatical
This,4.8839574,0,text-davinci-002,grammatical,Comparative Sentences,TS 3,grammatical
Ġmonth,4.8767443,1,text-davinci-002,grammatical,Comparative Sentences,TS 3,grammatical
Ġmore,8.792475,2,text-davinci-002,grammatical,Comparative Sentences,TS 3,grammatical
Ġone,10.981838,3,text-davinci-002,grammatical,Comparative Sentences,TS 3,grammatical
-,1.9673811,4,text-davinci-002,grammatical,Comparative Sentences,TS 3,grammatical
year,2.864178,5,text-davinci-002,grammatical,Comparative Sentences,TS 3,grammatical
-,1.7234442,6,text-davinci-002,grammatical,Comparative Sentences,TS 3,grammatical
olds,0.38066754,7,text-davinci-002,grammatical,Comparative Sentences,TS 3,grammatical
Ġtook,6.292782,8,text-davinci-002,grammatical,Comparative Sentences,TS 3,grammatical
Ġtheir,0.85087633,9,text-davinci-002,grammatical,Comparative Sentences,TS 3,grammatical
Ġfirst,0.087185964,10,text-davinci-002,grammatical,Comparative Sentences,TS 3,grammatical
Ġsteps,0.109002605,11,text-davinci-002,grammatical,Comparative Sentences,TS 3,grammatical
Ġthan,1.7770851,12,text-davinci-002,grammatical,Comparative Sentences,TS 3,grammatical
Ġ10,7.650623,13,text-davinci-002,grammatical,Comparative Sentences,TS 3,grammatical
-,0.8419769,14,text-davinci-002,grammatical,Comparative Sentences,TS 3,grammatical
month,4.7115655,15,text-davinci-002,grammatical,Comparative Sentences,TS 3,grammatical
-,0.033483166,16,text-davinci-002,grammatical,Comparative Sentences,TS 3,grammatical
olds,0.03020803,17,text-davinci-002,grammatical,Comparative Sentences,TS 3,grammatical
Ġdid,2.5947714,18,text-davinci-002,grammatical,Comparative Sentences,TS 3,grammatical
This,4.8839574,0,text-davinci-002,ungrammatical,Comparative Sentences,TS 3,grammatical
Ġmonth,4.8767443,1,text-davinci-002,ungrammatical,Comparative Sentences,TS 3,grammatical
Ġmore,8.792475,2,text-davinci-002,ungrammatical,Comparative Sentences,TS 3,grammatical
Ġone,10.981838,3,text-davinci-002,ungrammatical,Comparative Sentences,TS 3,grammatical
-,1.9673811,4,text-davinci-002,ungrammatical,Comparative Sentences,TS 3,grammatical
year,2.864178,5,text-davinci-002,ungrammatical,Comparative Sentences,TS 3,grammatical
-,1.7234442,6,text-davinci-002,ungrammatical,Comparative Sentences,TS 3,grammatical
olds,0.38066754,7,text-davinci-002,ungrammatical,Comparative Sentences,TS 3,grammatical
Ġtook,6.292782,8,text-davinci-002,ungrammatical,Comparative Sentences,TS 3,grammatical
Ġtheir,0.85087633,9,text-davinci-002,ungrammatical,Comparative Sentences,TS 3,grammatical
Ġfirst,0.087185964,10,text-davinci-002,ungrammatical,Comparative Sentences,TS 3,grammatical
Ġsteps,0.109002605,11,text-davinci-002,ungrammatical,Comparative Sentences,TS 3,grammatical
Ġthan,1.7770838,12,text-davinci-002,ungrammatical,Comparative Sentences,TS 3,grammatical
ĠMarie,15.086862,13,text-davinci-002,ungrammatical,Comparative Sentences,TS 3,grammatical
's,6.030308,14,text-davinci-002,ungrammatical,Comparative Sentences,TS 3,grammatical
Ġdaughter,3.830089,15,text-davinci-002,ungrammatical,Comparative Sentences,TS 3,grammatical
Ġdid,2.2334833,16,text-davinci-002,ungrammatical,Comparative Sentences,TS 3,grammatical
Today,7.021934,0,text-davinci-002,grammatical,Comparative Sentences,TS 4,grammatical
Ġmore,7.4649105,1,text-davinci-002,grammatical,Comparative Sentences,TS 4,grammatical
ĠBrazil,13.0338545,2,text-davinci-002,grammatical,Comparative Sentences,TS 4,grammatical
ians,0.02717137,3,text-davinci-002,grammatical,Comparative Sentences,TS 4,grammatical
Ġimm,8.913705,4,text-davinci-002,grammatical,Comparative Sentences,TS 4,grammatical
igrated,1.3627557,5,text-davinci-002,grammatical,Comparative Sentences,TS 4,grammatical
Ġto,0.2031426,6,text-davinci-002,grammatical,Comparative Sentences,TS 4,grammatical
ĠJapan,4.762342,7,text-davinci-002,grammatical,Comparative Sentences,TS 4,grammatical
Ġthan,0.20631221,8,text-davinci-002,grammatical,Comparative Sentences,TS 4,grammatical
ĠChile,11.623342,9,text-davinci-002,grammatical,Comparative Sentences,TS 4,grammatical
ans,0.06901396,10,text-davinci-002,grammatical,Comparative Sentences,TS 4,grammatical
Ġdid,3.2083626,11,text-davinci-002,grammatical,Comparative Sentences,TS 4,grammatical
Today,7.021934,0,text-davinci-002,ungrammatical,Comparative Sentences,TS 4,grammatical
Ġmore,7.4649105,1,text-davinci-002,ungrammatical,Comparative Sentences,TS 4,grammatical
ĠBrazil,13.0338545,2,text-davinci-002,ungrammatical,Comparative Sentences,TS 4,grammatical
ians,0.02717137,3,text-davinci-002,ungrammatical,Comparative Sentences,TS 4,grammatical
Ġimm,8.913705,4,text-davinci-002,ungrammatical,Comparative Sentences,TS 4,grammatical
igrated,1.3627557,5,text-davinci-002,ungrammatical,Comparative Sentences,TS 4,grammatical
Ġto,0.2031426,6,text-davinci-002,ungrammatical,Comparative Sentences,TS 4,grammatical
ĠJapan,4.762342,7,text-davinci-002,ungrammatical,Comparative Sentences,TS 4,grammatical
Ġthan,0.20631221,8,text-davinci-002,ungrammatical,Comparative Sentences,TS 4,grammatical
ĠWolfgang,16.41692,9,text-davinci-002,ungrammatical,Comparative Sentences,TS 4,grammatical
Ġdid,7.1054754,10,text-davinci-002,ungrammatical,Comparative Sentences,TS 4,grammatical
More,7.745122,0,text-davinci-002,grammatical,Comparative Sentences,TS 5,grammatical
Ġ18,10.558422,1,text-davinci-002,grammatical,Comparative Sentences,TS 5,grammatical
-,1.8475978,2,text-davinci-002,grammatical,Comparative Sentences,TS 5,grammatical
year,0.6762862,3,text-davinci-002,grammatical,Comparative Sentences,TS 5,grammatical
-,0.016431624,4,text-davinci-002,grammatical,Comparative Sentences,TS 5,grammatical
olds,0.09862606,5,text-davinci-002,grammatical,Comparative Sentences,TS 5,grammatical
Ġvoted,3.6773024,6,text-davinci-002,grammatical,Comparative Sentences,TS 5,grammatical
Ġin,0.23634176,7,text-davinci-002,grammatical,Comparative Sentences,TS 5,grammatical
Ġthis,2.4308014,8,text-davinci-002,grammatical,Comparative Sentences,TS 5,grammatical
Ġelection,1.4758368,9,text-davinci-002,grammatical,Comparative Sentences,TS 5,grammatical
Ġthan,0.030864345,10,text-davinci-002,grammatical,Comparative Sentences,TS 5,grammatical
Ġ40,9.817218,11,text-davinci-002,grammatical,Comparative Sentences,TS 5,grammatical
-,1.1274775,12,text-davinci-002,grammatical,Comparative Sentences,TS 5,grammatical
year,0.3651133,13,text-davinci-002,grammatical,Comparative Sentences,TS 5,grammatical
-,0.017239476,14,text-davinci-002,grammatical,Comparative Sentences,TS 5,grammatical
olds,0.0029109083,15,text-davinci-002,grammatical,Comparative Sentences,TS 5,grammatical
Ġdid,4.8930655,16,text-davinci-002,grammatical,Comparative Sentences,TS 5,grammatical
More,7.7451215,0,text-davinci-002,ungrammatical,Comparative Sentences,TS 5,grammatical
Ġ18,10.558423,1,text-davinci-002,ungrammatical,Comparative Sentences,TS 5,grammatical
-,1.8475986,2,text-davinci-002,ungrammatical,Comparative Sentences,TS 5,grammatical
year,0.67628527,3,text-davinci-002,ungrammatical,Comparative Sentences,TS 5,grammatical
-,0.016431624,4,text-davinci-002,ungrammatical,Comparative Sentences,TS 5,grammatical
olds,0.09862628,5,text-davinci-002,ungrammatical,Comparative Sentences,TS 5,grammatical
Ġvoted,3.677301,6,text-davinci-002,ungrammatical,Comparative Sentences,TS 5,grammatical
Ġin,0.23634166,7,text-davinci-002,ungrammatical,Comparative Sentences,TS 5,grammatical
Ġthis,2.4308,8,text-davinci-002,ungrammatical,Comparative Sentences,TS 5,grammatical
Ġelection,1.475838,9,text-davinci-002,ungrammatical,Comparative Sentences,TS 5,grammatical
Ġthan,0.030864345,10,text-davinci-002,ungrammatical,Comparative Sentences,TS 5,grammatical
Ġhe,11.711995,11,text-davinci-002,ungrammatical,Comparative Sentences,TS 5,grammatical
Ġdid,1.4051521,12,text-davinci-002,ungrammatical,Comparative Sentences,TS 5,grammatical
More,7.7451215,0,text-davinci-002,grammatical,Comparative Sentences,TS 6,ungrammatical
Ġphotographers,12.265862,1,text-davinci-002,grammatical,Comparative Sentences,TS 6,ungrammatical
Ġwon,8.679106,2,text-davinci-002,grammatical,Comparative Sentences,TS 6,ungrammatical
Ġtheir,5.842168,3,text-davinci-002,grammatical,Comparative Sentences,TS 6,ungrammatical
Ġthird,6.921026,4,text-davinci-002,grammatical,Comparative Sentences,TS 6,ungrammatical
ĠPulitzer,3.4982378,5,text-davinci-002,grammatical,Comparative Sentences,TS 6,ungrammatical
Ġthis,3.0223236,6,text-davinci-002,grammatical,Comparative Sentences,TS 6,ungrammatical
Ġyear,0.37407726,7,text-davinci-002,grammatical,Comparative Sentences,TS 6,ungrammatical
Ġthan,0.25895685,8,text-davinci-002,grammatical,Comparative Sentences,TS 6,ungrammatical
Ġthe,3.597808,9,text-davinci-002,grammatical,Comparative Sentences,TS 6,ungrammatical
Ġwriters,7.9330792,10,text-davinci-002,grammatical,Comparative Sentences,TS 6,ungrammatical
Ġdid,3.4197042,11,text-davinci-002,grammatical,Comparative Sentences,TS 6,ungrammatical
More,7.7451215,0,text-davinci-002,ungrammatical,Comparative Sentences,TS 6,ungrammatical
Ġphotographers,12.265862,1,text-davinci-002,ungrammatical,Comparative Sentences,TS 6,ungrammatical
Ġwon,8.679106,2,text-davinci-002,ungrammatical,Comparative Sentences,TS 6,ungrammatical
Ġtheir,5.842168,3,text-davinci-002,ungrammatical,Comparative Sentences,TS 6,ungrammatical
Ġthird,6.921026,4,text-davinci-002,ungrammatical,Comparative Sentences,TS 6,ungrammatical
ĠPulitzer,3.4982378,5,text-davinci-002,ungrammatical,Comparative Sentences,TS 6,ungrammatical
Ġthis,3.0223236,6,text-davinci-002,ungrammatical,Comparative Sentences,TS 6,ungrammatical
Ġyear,0.37407726,7,text-davinci-002,ungrammatical,Comparative Sentences,TS 6,ungrammatical
Ġthan,0.25895685,8,text-davinci-002,ungrammatical,Comparative Sentences,TS 6,ungrammatical
Ġthe,3.597808,9,text-davinci-002,ungrammatical,Comparative Sentences,TS 6,ungrammatical
Ġprofessor,13.929672,10,text-davinci-002,ungrammatical,Comparative Sentences,TS 6,ungrammatical
Ġdid,3.0142865,11,text-davinci-002,ungrammatical,Comparative Sentences,TS 6,ungrammatical
More,7.7451215,0,text-davinci-002,grammatical,Comparative Sentences,TS 7,ungrammatical
